Winner,Clay
Muguruza G.,7
Williams S.,6
Bertens K.,5
Stosur S.,5
Pironkova T.,4
Putintseva Y.,4
Bacsinszky T.,4
Rogers S.,4
Svitolina E.,3
Radwanska A.,3
Kuznetsova S.,3
Keys M.,3
Suarez Navarro C.,3
Halep S.,3
Williams V.,3
Begu I.,3
Kasatkina D.,2
Wickmayer Y.,2
Mladenovic K.,2
Kvitova P.,2
Beck A.,2
Puig M.,2
Knapp K.,2
Cibulkova D.,2
Ivanovic A.,2
Safarova L.,2
Osaka N.,2
Parmentier P.,2
Stephens S.,2
Cornet A.,2
Strycova B.,2
Pavlyuchenkova A.,2
Townsend T.,1
Wang Q.,1
Razzano V.,1
Watson H.,1
Vandeweghe C.,1
Sevastova A.,1
Petkovic A.,1
Vesnina E.,1
Babos T.,1
Makarova E.,1
Pereira T.,1
Nara K.,1
Bondarenko K.,1
Bouchard E.,1
Buyukakcay C.,1
Cepede Royg V.,1
Chirico L.,1
Diyas Z.,1
Duque-Marino M.,1
Falconi I.,1
Garcia C.,1
Georges M.,1
Giorgi C.,1
Goerges J.,1
Golubic V.,1
Hercog P.,1
Hsieh S.W.,1
Konjuh A.,1
Larsson J.,1
Lucic-Baroni M.,1
Maria T.,1
Zhang S.,1
