Winner,Clay
Medvedev D.,6
Rune H.,5
Ruud C.,4
Hanfmann Y.,4
Tsitsipas S.,4
Coric B.,3
Popyrin A.,3
Djere L.,3
Djokovic N.,3
Marozsan F.,3
Cerundolo F.,3
Sonego L.,2
Sinner J.,2
Safiullin R.,2
Wolf J.J.,2
Garin C.,2
Rublev A.,2
Norrie C.,2
Musetti L.,2
Zverev A.,2
Cecchinato M.,2
Fognini F.,2
Barrere G.,2
Bublik A.,2
Carballes Baena R.,2
Fucsovics M.,2
Goffin D.,1
Zapata Miralles B.,1
Wu Y.,1
Arnaldi M.,1
Wawrinka S.,1
Baez S.,1
Tiafoe F.,1
Borges N.,1
Shevchenko A.,1
Ruusuvuori E.,1
Davidovich Fokina A.,1
Rinderknech A.,1
Ramos-Vinolas A.,1
Dimitrov G.,1
Pella G.,1
Etcheverry T.,1
Fils A.,1
Muller A.,1
Monteiro T.,1
Molcan A.,1
Altmaier D.,1
Kubler J.,1
Kokkinakis T.,1
Alcaraz C.,1
