Winner,Grass
Alcaraz C.,7
Djokovic N.,6
Sinner J.,5
Medvedev D.,5
Eubanks C.,4
Rublev A.,4
Safiullin R.,4
Rune H.,4
Shapovalov D.,3
Tsitsipas S.,3
Dimitrov G.,3
Lehecka J.,3
Bublik A.,3
Berrettini M.,3
Galan D.E.,3
Hurkacz H.,3
Tiafoe F.,2
Wawrinka S.,2
Pella G.,2
Paul T.,2
O Connell C.,2
Musetti L.,2
Ymer M.,2
Marterer M.,2
Zverev A.,2
Jarry N.,2
Djere L.,2
Davidovich Fokina A.,2
Broady L.,2
Halys Q.,2
Fucsovics M.,2
Goffin D.,2
Karatsev A.,1
Cerundolo F.,1
Shelton B.,1
Choinski J.,1
Stricker D.,1
Thompson J.,1
Carballes Baena R.,1
De Minaur A.,1
Van De Zandschulp B.,1
Vesely J.,1
Vukic A.,1
Watanuki Y.,1
Wolf J.J.,1
Barrios M.,1
Schwartzman D.,1
Etcheverry T.,1
Ruud C.,1
Kubler J.,1
Raonic M.,1
Fritz T.,1
Otte O.,1
Giron M.,1
Norrie C.,1
Murray A.,1
Munar J.,1
Muller A.,1
Moutet C.,1
Barrere G.,1
Mayot H.,1
Ivashka I.,1
Mannarino A.,1
Mmoh M.,1
