,player,pts_won,net_pts,net_efficiency
0,Iga Swiatek,56,71,78.87323943661971
1,Bianca Andreescu,52,69,75.36231884057972
2,Maria Jose Martinez Sanchez,44,59,74.57627118644068
3,Kiki Bertens,40,54,74.07407407407408
4,Paula Badosa,30,41,73.17073170731707
5,Amelie Mauresmo,40,57,70.17543859649122
6,Camila Giorgi,70,100,70.0
7,Karolina Muchova,28,40,70.0
8,Elena Rybakina,28,42,66.66666666666666
9,Caroline Garcia,24,40,60.0
10,Johanna Konta,35,65,53.84615384615385
