,player,passed_at_net,net_pts,passing_shot
0,Robin Soderling,26,118,22.033898305084744
1,Andy Roddick,75,396,18.939393939393938
2,Novak Djokovic,56,358,15.64245810055866
3,Radek Stepanek,27,182,14.835164835164836
4,Tommy Haas,19,129,14.728682170542637
5,Roger Federer,82,621,13.20450885668277
6,Andy Murray,15,129,11.627906976744185
7,Rafael Nadal,14,126,11.11111111111111
8,Juan Martin Del Potro,14,149,9.395973154362416
9,Lleyton Hewitt,9,118,7.627118644067797
10,Jo Wilfried Tsonga,9,131,6.870229007633588
