Winner,Hard
Kontaveit A.,35
Muguruza G.,35
Pegula J.,27
Svitolina E.,26
Jabeur O.,25
Collins D.,25
Kasatkina D.,25
Sabalenka A.,24
Krejcikova B.,24
Sorribes Tormo S.,24
Sakkari M.,23
Mertens E.,22
Barty A.,22
Vondrousova M.,21
Pliskova Ka.,21
Rogers S.,20
Halep S.,20
Azarenka V.,19
Badosa P.,19
Putintseva Y.,18
Teichmann J.,18
Li A.,18
Kudermetova V.,18
Swiatek I.,17
Ostapenko J.,17
Paolini J.,17
Bencic B.,17
Tauson C.,16
Osaka N.,16
Fernandez L.A.,16
Martincova T.,16
Cornet A.,16
Gauff C.,15
Kvitova P.,15
Alexandrova E.,15
Rybakina E.,14
Kerber A.,14
Andreescu B.,14
Peterson R.,14
Begu I.,14
Riske A.,13
Sasnovich A.,13
Giorgi C.,13
Tomljanovic A.,12
Gracheva V.,12
Garcia C.,12
Van Uytvanck A.,12
Minnen G.,12
Samsonova L.,12
Cristian J.,12
Bouzkova M.,12
Pavlyuchenkova A.,11
Golubic V.,11
Kalinskaya A.,11
Kostyuk M.,11
Mladenovic K.,11
Cirstea S.,11
Juvan K.,10
Kanepi K.,10
Brady J.,10
Wang Xin.,10
Vekic D.,10
Muchova K.,10
Schmiedlova A.,9
Sevastova A.,9
Siniakova K.,9
Zidansek T.,9
Konjuh A.,9
Raducanu E.,9
Hsieh S.W.,9
Potapova A.,9
Anisimova A.,8
Podoroska N.,8
Williams S.,8
Ferro F.,8
Diyas Z.,8
Doi M.,8
Gasanova A.,8
Linette M.,8
Zheng S.,7
Kenin S.,7
Stojanovic N.,7
Martic P.,7
Zvonareva V.,7
Stephens S.,6
Pera B.,6
Kalinina A.,6
Zhang S.,6
Petkovic A.,5
Osorio M.,5
Sanders S.,5
Kuzmova V.,5
Gasparyan M.,5
Kuznetsova S.,5
Davis L.,5
Tsurenko L.,5
Rus A.,5
Yastremska D.,5
Siegemund L.,4
Marino R.,4
Mcnally C.,4
Bogdan A.,4
Cocciaretto E.,4
Bouchard E.,4
Boulter K.,4
Konta J.,4
Sherif M.,3
Sharma A.,3
Barthel M.,3
Rakhimova K.,3
Burel C.,3
Pironkova T.,3
Dart H.,3
Inglis M.,3
Kucova K.,3
Watson H.,3
Wang Q.,3
Babos T.,3
Keys M.,3
Krunic A.,3
Kovinic D.,3
Hontama M.,3
Zhu L.,3
Hercog P.,2
Williams V.,2
Zarazua R.,2
Kozlova K.,2
Ruse E.G.,2
Bronzetti L.,2
Dodin O.,2
Brengle M.,2
Haddad Maia B.,2
Errani S.,2
Danilovic O.,2
Lapko V.,2
Birrell K.,2
Bolsova A.,2
Gavrilova D.,2
Trevisan M.,2
Frech M.,2
Friedsam A.L.,2
Tig P.M.,2
Min G.,2
Gadecki O.,2
Mattek-Sands B.,2
Baptiste H.,1
Aiava D.,1
Bara I.,1
Voegele S.,1
Buzarnescu M.,1
Turati B.,1
Blinkova A.,1
Smitkova T.,1
Stosur S.,1
Wang Xiy.,1
Bonaventure Y.,1
Stefanini L.,1
Sramkova R.,1
Bondarenko K.,1
Pliskova Kr.,1
Raina A.,1
Lepchenko V.,1
Flipkens K.,1
Minella M.,1
Fruhvirtova L.,1
Mchale C.,1
Masarova R.,1
Liu C.,1
Liang E.S.,1
Kung L.,1
Muhammad A.,1
Gatto-Monticone G.,1
Grammatikopoulou V.,1
Hanatani N.,1
Hartono A.,1
Hibi M.,1
Hibino N.,1
Jones F.,1
Fett J.,1
Abanda F.,1
Parrizas Diaz N.,1
Da Silva Fick G.,1
Bondar A.,0
Di Giuseppe M.,0
Diatchenko V.,0
Gorgodze E.,0
Korpatsch T.,0
Bucsa C.,0
Wang Y.,0
Di Lorenzo F.,0
Arruabarrena L.,0
Kawa K.,0
Vikhlyantseva N.,0
Zaja A.,0
Zanevska M.,0
Jani R.L.,0
Zavatska K.,0
Zheng Q.,0
Anshba A.,0
Jorovic I.,0
Cabrera L.,0
Pattinama Kerkhove L.,0
Vesnina E.,0
Nara K.,0
Ahn K.,0
Navarro E.,0
Niemeier J.,0
Moore T.,0
Shvedova Y.,0
Ormaechea P.,0
Melnikova M.,0
Tan H.,0
Falkowska W.,0
Dolehide C.,0
Rodionova Ar.,0
Bertens K.,0
Tomova V.,0
Seguel D.,0
Garcia Perez G.,0
Parks A.,0
Udvardy P.,0
Vandeweghe C.,0
Galfi D.,0
