Winner,Hard
Sinner J.,6
Dimitrov G.,5
Zverev A.,4
Medvedev D.,4
Marozsan F.,4
Machac T.,4
O Connell C.,3
Koepfer D.,3
Jarry N.,3
Alcaraz C.,3
Arnaldi M.,3
De Minaur A.,2
Damm M.,2
Shapovalov D.,2
Seyboth Wild T.,2
Ruud C.,2
Popyrin A.,2
Musetti L.,2
Murray A.,2
Khachanov K.,2
Monfils G.,2
Hurkacz H.,2
Hanfmann Y.,2
Fucsovics M.,1
Vavassori A.,1
Van De Zandschulp B.,1
Van Assche L.,1
Tabilo A.,1
Struff J.L.,1
Djere L.,1
Shevchenko A.,1
Shelton B.,1
Draper J.,1
Shang J.,1
Eubanks C.,1
Safiullin R.,1
Evans D.,1
Ofner S.,1
Humbert U.,1
Auger-Aliassime F.,1
Norrie C.,1
Griekspoor T.,1
Davidovich Fokina A.,1
Michelsen A.,1
Bautista Agut R.,1
Carballes Baena R.,1
Cerundolo F.,1
Altmaier D.,1
Kwon S.W.,1
Korda S.,1
Cobolli F.,1
Landaluce M.,1
