Winner,Hard
Djokovic N.,59
Berdych T.,40
Murray A.,38
Federer R.,37
Wawrinka S.,36
Ferrer D.,34
Anderson K.,33
Nishikori K.,33
Isner J.,31
Johnson S.,29
Nadal R.,29
Gasquet R.,27
Tomic B.,27
Bautista R.,25
Simon G.,25
Raonic M.,24
Karlovic I.,24
Muller G.,23
Sock J.,21
Young D.,21
Cilic M.,21
Garcia-Lopez G.,20
Tsonga J.W.,20
Lopez F.,20
Chardy J.,20
Dimitrov G.,20
Pospisil V.,19
Troicki V.,19
Mannarino A.,18
Sousa J.,18
Baghdatis M.,17
Goffin D.,17
Dolgopolov O.,16
Seppi A.,16
Bolelli S.,16
Monfils G.,15
Stakhovsky S.,15
Janowicz J.,14
Thiem D.,14
Kyrgios N.,13
Vesely J.,13
Paire B.,12
Kukushkin M.,12
Lu Y.H.,12
Coric B.,12
Klizan M.,12
Rosol L.,12
Berankis R.,11
Verdasco F.,11
Kohlschreiber P.,11
Groth S.,11
Robredo T.,11
Mayer L.,10
Bedene A.,10
Gabashvili T.,9
Bellucci T.,9
Fognini F.,9
Istomin D.,9
Cuevas P.,8
Kokkinakis T.,8
Becker B.,8
Querrey S.,8
Ramos-Vinolas A.,7
Krajicek A.,7
Chung H.,7
Haider-Maurer A.,7
Jaziri M.,7
Pouille L.,7
Gulbis E.,7
Darcis S.,6
Herbert P.H,6
Haase R.,6
Youzhny M.,6
Dodig I.,6
Granollers M.,6
Nieminen J.,6
Duckworth J.,6
Monaco J.,6
Carreno-Busta P.,6
Donskoy E.,5
Sela D.,5
Soeda G.,5
Zverev A.,5
Kudla D.,5
Roger-Vasselin E.,5
Harrison R.,5
Schwartzman D.,5
Struff J.L.,4
Kuznetsov An.,4
Millman J.,4
Smyczek T.,4
Melzer J.,4
Zverev M.,4
Giraldo S.,4
Brown D.,4
Ilhan M.,4
Falla A.,4
Matosevic M.,3
Estrella Burgos V.,3
Sijsling I.,3
Berrer M.,3
Stepanek R.,3
Rublev A.,3
Mahut N.,3
Bemelmans R.,3
Lajovic D.,3
Lorenzi P.,3
Nishioka Y.,3
Donaldson J.,3
Delbonis F.,3
Hewitt L.,3
Ito T.,3
Del Potro J.M.,2
Almagro N.,2
Brands D.,2
Golubev A.,2
Krajinovic F.,2
Andujar P.,2
De Schepper K.,2
Fish M.,2
Gonzalez A.,2
Basilashvili N.,2
Gimeno-Traver D.,2
Rola B.,1
Daniel T.,1
Ram R.,1
Copil M.,1
Karatsev A.,1
Souza J.,1
Pella G.,1
Berlocq C.,1
Benneteau J.,1
Tiafoe F.,1
Bai Y.,1
Venus M.,1
Bachinger M.,1
Ward J.,1
Ymer E.,1
Zhang Ze,1
Zhang Zh.,1
Kamke T.,1
Dzumhur D.,1
Albot R.,1
Hanescu V.,1
Gojowczyk P.,1
Marchenko I.,1
Lacko L.,1
Moriya H.,1
Mathieu P.H.,1
Kubot L.,1
Kavcic B.,1
Arguello F.,0
Haas T.,0
Sugita Y.,0
Andreozzi G.,0
Gomez A.,0
Tipsarevic J.,0
Machado R.,0
Trinker B.,0
Lindell C.,0
Hernych J.,0
Vanni L.,0
Jarry N.,0
Mayer F.,0
Zeballos H.,0
Herbert P.H.,0
Arnaboldi A.,0
Bagnis F.,0
Ebden M.,0
Donati M.,0
De Greef A.,0
Ouahab L.,0
Olivo R.,0
Demoliner M.,0
Novak D.,0
Reister J.,0
Robert S.,0
Edmund K.,0
Munar J.,0
Fritz T.,0
Sarkissian A.,0
Melzer G.,0
De Bakker T.,0
Montanes A.,0
Galan D.E.,0
Mina G.,0
Chiudinelli M.,0
Smith J.P.,0
Carballes Baena R.,0
Menendez-Maceiras A.,0
Broady L.,0
Mektic N.,0
