,player,passed_at_net,net_pts,passing_shot
0,Stefan Edberg,75,388,19.329896907216497
1,Andrei Medvedev,23,133,17.293233082706767
2,Jim Courier,31,206,15.048543689320388
3,Todd Martin,12,82,14.634146341463413
4,Michael Stich,15,114,13.157894736842104
5,Andre Agassi,13,103,12.62135922330097
6,Pete Sampras,24,211,11.374407582938389
7,Petr Korda,11,97,11.34020618556701
8,Cedric Pioline,8,121,6.6115702479338845
9,Michael Chang,5,80,6.25
