,player,passed_at_net,net_pts,passing_shot
0,Reilly Opelka,8,61,13.114754098360656
1,Novak Djokovic,18,170,10.588235294117647
2,Feliciano Lopez,8,92,8.695652173913043
3,Felix Auger Aliassime,6,69,8.695652173913043
4,Maxime Cressy,13,157,8.280254777070063
5,Jan Lennard Struff,4,50,8.0
6,Botic Van De Zandschulp,17,222,7.657657657657657
7,Ivo Karlovic,9,125,7.199999999999999
8,Stefanos Tsitsipas,5,79,6.329113924050633
9,Daniil Medvedev,3,53,5.660377358490567
