,player,passed_at_net,net_pts,passing_shot
0,Alex De Minaur,15,102,14.705882352941178
1,Damir Dzumhur,8,56,14.285714285714285
2,Stefanos Tsitsipas,13,98,13.26530612244898
3,Andrey Rublev,6,48,12.5
4,Hubert Hurkacz,20,179,11.1731843575419
5,Grigor Dimitrov,5,52,9.615384615384617
6,Roger Federer,9,104,8.653846153846153
7,Tallon Griekspoor,14,165,8.484848484848486
8,Jannik Sinner,6,72,8.333333333333332
9,Kei Nishikori,3,48,6.25
10,Stan Wawrinka,3,51,5.88235294117647
11,Felix Auger Aliassime,2,48,4.166666666666666
