Winner,Grass
Vandeweghe C.,11
Pliskova Ka.,10
Cibulkova D.,9
Keys M.,8
Kerber A.,8
Vesnina E.,8
Puig M.,8
Mladenovic K.,7
Williams S.,7
Strycova B.,6
Makarova E.,6
Garcia C.,6
Suarez Navarro C.,6
Konta J.,6
Williams V.,5
Doi M.,5
Radwanska A.,5
Jankovic J.,5
Bouchard E.,5
Brengle M.,5
Friedsam A.L.,5
Sevastova A.,4
Riske A.,4
Pavlyuchenkova A.,4
Shvedova Y.,4
Flipkens K.,4
Halep S.,4
Bencic B.,4
Ostapenko J.,4
Petkovic A.,4
Kuznetsova S.,3
Gavrilova D.,3
Lisicki S.,3
Safarova L.,3
Mertens E.,3
Rodina E.,3
Kvitova P.,3
Mchale C.,3
Wozniacki C.,3
Moore T.,3
Zheng S.,3
Paszek T.,3
Golubic V.,2
Stephens S.,2
Kozlova K.,2
Bacsinszky T.,2
Bertens K.,2
Ivanovic A.,2
Kontaveit A.,2
Lepchenko V.,2
Babos T.,2
Bondarenko K.,2
Boserup J.,2
Kasatkina D.,2
Barty A.,2
Witthoeft C.,2
Cepede Royg V.,2
Cepelova J.,2
Wickmayer Y.,2
Erakovic M.,2
Cirstea S.,2
Duque-Marino M.,2
Cornet A.,2
Pironkova T.,2
Siniakova K.,2
Vinci R.,2
Beck A.,2
Konjuh A.,1
Krunic A.,1
Minella M.,1
Putintseva Y.,1
Schiavone F.,1
Ozaki R.,1
Niculescu M.,1
Larcherde Brito M.,1
Sasnovich A.,1
Sakkari M.,1
Rybarikova M.,1
Lucic-Baroni M.,1
Nara K.,1
Muguruza G.,1
Siegemund L.,1
Hibino N.,1
Svitolina E.,1
Hlavackova A.,1
Duan Y.Y.,1
Errani S.,1
Tsurenko L.,1
Crawford S.,1
Watson H.,1
Tatishvili A.,1
Stosur S.,1
Hantuchova D.,1
Begu I.,1
Vikhlyantseva N.,1
Barthel M.,1
Arruabarrena L.,1
Alexandrova E.,1
Sorribes Tormo S.,1
Allertova D.,1
Hsieh S.W.,1
Hogenkamp R.,1
Zhang S.,0
Zhang K.L.,0
Yang Z.,0
Pliskova Kr.,0
Zhang Yi.,0
Razzano V.,0
Wang Yaf.,0
Wang Q.,0
Radwanska U.,0
Vondrousova M.,0
Zhang Yux.,0
Voegele S.,0
Smitkova T.,0
Vekic D.,0
Reix S.,0
Schaefer A.,0
Soler-Espinosa S.,0
Soylu I.,0
Shinikova I.,0
Stefkova B.,0
Sharapova M.,0
Shapatava S.,0
Schmiedlova A.,0
Peterson R.,0
Savchuk O.,0
Robson L.,0
Teichmann J.B.,0
Tig P.M.,0
Townsend T.,0
Sadikovic A.,0
Van Uytvanck A.,0
Rogers S.,0
Soler Espinosa S.,0
Vickery S.,0
Abanda F.,0
Lim A.,0
Perrin C.,0
Gibbs N.,0
Duque Marino M.,0
Eguchi M.,0
Falconi I.,0
Feuerstein C.,0
Gasparyan M.,0
Georges M.,0
Giorgi C.,0
Dominguez Lino L.,0
Glushko J.,0
Goerges J.,0
Goncalves P.C.,0
Gonzalez M.,0
Govortsova O.,0
Han X.,0
Dulgheru A.,0
Dodin O.,0
Hradecka L.,0
Brady J.,0
Arconada U.M.,0
Azarenka V.,0
Bellis C.,0
Birrell K.,0
Blinkova A.,0
Bogdan A.,0
Broady N.,0
Diyas Z.,0
Burger C.,0
Buyukakcay C.,0
Chang K.C.,0
Chirico L.,0
Davis L.,0
Day K.,0
Hercog P.,0
Jang S.J.,0
Pereira T.,0
Mattek-Sands B.,0
Lu Jing Jing,0
Lucic M.,0
Maria T.,0
Martic P.,0
Martincova T.,0
Masarova R.,0
Mitu A.,0
Linette M.,0
Osaka N.,0
Panova A.,0
Parmentier P.,0
Pegula J.,0
Pella C.,0
Peng S.,0
Liu F.,0
Abduraimova N.,0
Jani R.L.,0
Kovinic D.,0
Kato M.,0
Khromacheva I.,0
Kichenok L.,0
King V.,0
Knapp K.,0
Kostova E.,0
Krejcikova B.,0
Leykina P.,0
Kucova K.,0
Kudryavtseva A.,0
Kulichkova E.,0
Lao D.,0
Larsson J.,0
Lertpitaksinchai N.,0
Zhu L.,0
