Winner,Clay
Baez S.,9
Diaz Acosta F.,8
Tsitsipas S.,6
Coria F.,6
Darderi L.,6
Ruud C.,4
Bagnis F.,4
Navone M.,4
Cerundolo F.,4
Lajovic D.,4
Etcheverry T.,4
Hanfmann Y.,3
Jarry N.,3
Sinner J.,3
Khachanov K.,3
Djokovic N.,3
Norrie C.,3
De Minaur A.,3
Munar J.,3
Humbert U.,3
Rune H.,2
Hurkacz H.,2
Seyboth Wild T.,2
Monteiro T.,2
Musetti L.,2
Ramos-Vinolas A.,2
Alcaraz C.,2
Struff J.L.,2
Tabilo A.,2
Popyrin A.,2
Djere L.,2
Dimitrov G.,2
Vavassori A.,2
Fonseca J.,2
Sonego L.,1
Tirante T.A.,1
Safiullin R.,1
Ugo Carabelli C.,1
Wawrinka S.,1
Zapata Miralles B.,1
Zhang Zh.,1
Korda S.,1
Ofner S.,1
Nagal S.,1
Barrios M.,1
Bautista Agut R.,1
Burruchaga R.,1
Carballes Baena R.,1
Coric B.,1
Dellien H.,1
Fils A.,1
Galan D.E.,1
Garin C.,1
Griekspoor T.,1
Kecmanovic M.,1
Auger-Aliassime F.,1
Medvedev D.,1
Meligeni Alves F.,1
Monfils G.,1
Zverev A.,1
