Winner,Hard
Humbert U.,11
Khachanov K.,11
Rublev A.,10
Sinner J.,10
Mensik J.,9
Medvedev D.,9
Shang J.,9
Machac T.,8
Alcaraz C.,8
Fils A.,7
Bublik A.,6
Monfils G.,6
Vukic A.,6
Bu Y.,6
Ruusuvuori E.,6
Musetti L.,5
Cilic M.,5
Safiullin R.,5
Djokovic N.,5
Shevchenko A.,5
Lehecka J.,5
Rune H.,5
Zhang Zh.,5
Goffin D.,4
Popyrin A.,4
O Connell C.,4
Shelton B.,4
Kotov P.,4
Griekspoor T.,4
Mannarino A.,4
Davidovich Fokina A.,4
Diallo G.,4
Fritz T.,4
Carballes Baena R.,4
Tiafoe F.,3
Michelsen A.,3
Nakashima B.,3
Ofner S.,3
Paul T.,3
Cobolli F.,3
Cerundolo F.,3
Nishikori K.,3
Bautista Agut R.,3
Hanfmann Y.,3
Kachmazov A.,3
Van De Zandschulp B.,3
Hurkacz H.,3
Zhukayev B.,2
Zhou Y.,2
Wu Y.,2
Nishioka Y.,2
Daniel T.,2
Uchiyama Y.,2
Watanuki Y.,2
Tsitsipas S.,2
Cazaux A.,2
Berrettini M.,2
Bellucci M.,2
Murray A.,2
Tabilo A.,2
Giron M.,2
Zverev A.,2
Marozsan F.,2
Korda S.,2
Muller A.,2
Kecmanovic M.,2
Kukushkin M.,2
Hijikata R.,2
Draper J.,2
Dimitrov G.,2
Fucsovics M.,1
Wong C.,1
Wawrinka S.,1
Svajda Z.,1
Huesler M.A.,1
Virtanen O.,1
Jarry N.,1
Atmane T.,1
Karatsev A.,1
Grenier H.,1
Fognini F.,1
Thompson J.,1
Gomez F.,1
Klein L.,1
Munar J.,1
Struff J.L.,1
Rinderknech A.,1
Mpetshi G.,1
Navone M.,1
Gasquet R.,1
Martinez P.,1
Marterer M.,1
Coric B.,1
Arnaldi M.,1
Sonego L.,1
Engel J.,1
Etcheverry T.,1
Seyboth Wild T.,1
Broady L.,1
Shapovalov D.,1
Evans D.,1
Bergs Z.,1
