,player,passed_at_net,net_pts,passing_shot
0,Alexander Bublik,19,110,17.272727272727273
1,Andy Murray,16,110,14.545454545454545
2,Novak Djokovic,16,137,11.678832116788321
3,Maxime Cressy,15,141,10.638297872340425
4,Alexander Zverev,20,194,10.309278350515463
5,John Isner,16,169,9.467455621301776
6,Roger Federer,49,541,9.057301293900185
7,Rafael Nadal,28,314,8.9171974522293
8,Feliciano Lopez,10,116,8.620689655172415
9,Hubert Hurkacz,23,316,7.2784810126582276
10,Dominic Thiem,13,187,6.951871657754011
