,player,pts_won,net_pts,net_efficiency
0,Victoria Azarenka,63,80,78.75
1,Coco Gauff,37,47,78.72340425531915
2,Donna Vekic,42,59,71.1864406779661
3,Jessica Pegula,32,47,68.08510638297872
4,Bianca Andreescu,38,56,67.85714285714286
5,Elena Rybakina,34,51,66.66666666666666
6,Iga Swiatek,23,35,65.71428571428571
7,Caroline Garcia,48,75,64.0
8,Marketa Vondrousova,21,34,61.76470588235294
9,Ons Jabeur,27,46,58.69565217391305
10,Leylah Fernandez,19,34,55.88235294117647
