,player,pts_won,net_pts,net_efficiency
0,Caroline Wozniacki,51,67,76.11940298507463
1,Petra Kvitova,25,34,73.52941176470588
2,Sara Errani,25,35,71.42857142857143
3,Maria Sharapova,111,157,70.70063694267516
4,Julia Goerges,33,47,70.2127659574468
5,Jelena Jankovic,23,33,69.6969696969697
6,Victoria Azarenka,40,58,68.96551724137932
7,Serena Williams,52,78,66.66666666666666
8,Samantha Stosur,32,49,65.3061224489796
9,Angelique Kerber,21,38,55.26315789473685
