,player,passed_at_net,net_pts,passing_shot
0,Karen Khachanov,14,56,25.0
1,Jiri Novak,10,41,24.390243902439025
2,Daniil Medvedev,18,89,20.224719101123593
3,Stefanos Tsitsipas,7,41,17.073170731707318
4,Frances Tiafoe,8,54,14.814814814814813
5,Daniel Evans,7,48,14.583333333333334
6,Roger Federer,8,60,13.333333333333334
7,Andy Murray,5,41,12.195121951219512
8,Hubert Hurkacz,21,185,11.351351351351353
9,Jannik Sinner,12,163,7.361963190184049
10,Dominic Thiem,4,62,6.451612903225806
11,Grigor Dimitrov,3,53,5.660377358490567
