Winner,Hard
Djokovic N.,7
Thiem D.,6
Zverev A.,5
Federer R.,5
Wawrinka S.,4
Sandgren T.,4
Raonic M.,4
Nadal R.,4
Schwartzman D.,3
Rublev A.,3
Monfils G.,3
Medvedev D.,3
Fucsovics M.,3
Fognini F.,3
Kyrgios N.,3
Cilic M.,3
Pella G.,2
Nishioka Y.,2
Lajovic D.,2
Popyrin A.,2
Khachanov K.,2
Carreno Busta P.,2
Isner J.,2
Bautista Agut R.,2
Gulbis E.,2
Tsitsipas S.,2
Goffin D.,2
Verdasco F.,2
Querrey S.,2
Paul T.,2
Fritz T.,2
Millman J.,2
Berankis R.,1
Bolt A.,1
Berrettini M.,1
Evans D.,1
Bedene A.,1
Seppi A.,1
Simon G.,1
Sugita Y.,1
Tabilo A.,1
Thompson J.,1
Basilashvili N.,1
Ymer M.,1
Sinner J.,1
Munar J.,1
Polmans M.,1
Paire B.,1
Delbonis F.,1
Garin C.,1
Gerasimov E.,1
Gojowczyk P.,1
Herbert P.H.,1
Hurkacz H.,1
Ito T.,1
Karlovic I.,1
Kohlschreiber P.,1
Krajinovic F.,1
Barrere G.,1
Martinez P.,1
Davidovich Fokina A.,1
Mmoh M.,1
Dimitrov G.,1
Anderson K.,1
