,player,pts_won,net_pts,net_efficiency
0,Serena Williams,141,189,74.60317460317461
1,Victoria Azarenka,63,88,71.5909090909091
2,Lucie Safarova,60,87,68.96551724137932
3,Garbine Muguruza,174,256,67.96875
4,Ana Ivanovic,41,61,67.21311475409836
5,Venus Williams,60,93,64.51612903225806
6,Angelique Kerber,39,61,63.934426229508205
7,Madison Keys,39,61,63.934426229508205
8,Svetlana Kuznetsova,48,77,62.33766233766234
9,Agnieszka Radwanska,114,191,59.68586387434554
10,Elina Svitolina,32,68,47.05882352941176
