,player,pts_won,net_pts,net_efficiency
0,Serena Williams,21,23,91.30434782608695
1,Kiki Bertens,24,29,82.75862068965517
2,Kristina Mladenovic,22,27,81.48148148148148
3,Julia Goerges,26,33,78.78787878787878
4,Bianca Andreescu,115,157,73.24840764331209
5,Karolina Muchova,30,43,69.76744186046511
6,Priscilla Hon,19,28,67.85714285714286
7,Taylor Townsend,55,84,65.47619047619048
8,Donna Vekic,26,41,63.41463414634146
9,Iga Swiatek,14,24,58.333333333333336
10,Kirsten Flipkens,12,23,52.17391304347826
11,Anastasia Pavlyuchenkova,11,23,47.82608695652174
