Continent,Winner,Surface,Wins
NA,Djere L.,Clay,5
NA,Baez S.,Clay,3
NA,Ugo Carabelli C.,Clay,3
NA,Cerundolo F.,Clay,2
NA,Coria F.,Clay,2
SA,Baez S.,Clay,6
SA,Cerundolo F.,Clay,6
SA,Fonseca J.,Clay,5
SA,Muller A.,Clay,4
SA,Comesana F.,Clay,3
