,player,passed_at_net,net_pts,passing_shot
0,Anastasia Pavlyuchenkova,7,23,30.434782608695656
1,Donna Vekic,7,41,17.073170731707318
2,Kirsten Flipkens,3,23,13.043478260869565
3,Taylor Townsend,9,84,10.714285714285714
4,Bianca Andreescu,13,157,8.280254777070063
5,Kristina Mladenovic,2,27,7.4074074074074066
6,Julia Goerges,2,33,6.0606060606060606
7,Iga Swiatek,1,24,4.166666666666666
8,Kiki Bertens,1,29,3.4482758620689653
9,Karolina Muchova,1,43,2.3255813953488373
10,Priscilla Hon,0,28,0.0
11,Serena Williams,0,23,0.0
