,player,pts_won,net_pts,net_efficiency
0,Juan Carlos Ferrero,68,85,80.0
1,Younes El Aynaoui,58,77,75.32467532467533
2,Mardy Fish,53,75,70.66666666666667
3,Roger Federer,820,1172,69.96587030716724
4,Tim Henman,58,83,69.87951807228916
5,Lleyton Hewitt,83,119,69.74789915966386
6,Andre Agassi,126,181,69.61325966850829
7,Andy Roddick,224,355,63.098591549295776
8,Mark Philippoussis,219,358,61.1731843575419
9,David Nalbandian,63,111,56.75675675675676
