Winner,Hard
Djokovic N.,6
Murray A.,5
Berdych T.,4
Monaco J.,4
Isner J.,4
Thiem D.,4
Nishikori K.,3
Ferrer D.,3
Dolgopolov O.,3
Monfils G.,2
Anderson K.,2
Raonic M.,2
Janowicz J.,2
Simon G.,2
Goffin D.,2
Sock J.,2
Mannarino A.,2
Verdasco F.,2
Bellucci T.,2
Darcis S.,2
Falla A.,2
Ramos-Vinolas A.,1
Youzhny M.,1
Young D.,1
Pospisil V.,1
Querrey S.,1
Wawrinka S.,1
Nieminen J.,1
Rosol L.,1
Rublev A.,1
Tsonga J.W.,1
Troicki V.,1
Tomic B.,1
Smyczek T.,1
Struff J.L.,1
Almagro N.,1
Nadal R.,1
Melzer J.,1
Berlocq C.,1
Bolelli S.,1
Chardy J.,1
Chung H.,1
Coric B.,1
Delbonis F.,1
Dimitrov G.,1
Duckworth J.,1
Gabashvili T.,1
Garcia-Lopez G.,1
Giraldo S.,1
Haase R.,1
Klizan M.,1
Krajicek A.,1
Krajinovic F.,1
Kukushkin M.,1
Mayer L.,1
Zverev A.,1
