Winner,Clay
Wawrinka S.,7
Djokovic N.,6
Tsonga J.W.,5
Murray A.,5
Ferrer D.,4
Federer R.,4
Nadal R.,4
Nishikori K.,4
Chardy J.,3
Cilic M.,3
Gasquet R.,3
Sock J.,3
Simon G.,3
Monfils G.,3
Gabashvili T.,3
Berdych T.,3
Goffin D.,2
Kuznetsov An.,2
Kokkinakis T.,2
Rosol L.,2
Paire B.,2
Andujar P.,2
Dzumhur D.,2
Kyrgios N.,2
Anderson K.,2
Cuevas P.,2
Coric B.,2
Bolelli S.,2
Mahut N.,2
Becker B.,2
Mayer L.,2
Johnson S.,2
Sousa J.,1
Robredo T.,1
Schwartzman D.,1
Sela D.,1
Stakhovsky S.,1
Stepanek R.,1
Thiem D.,1
Tomic B.,1
Troicki V.,1
Verdasco F.,1
Muller G.,1
Almagro N.,1
Monaco J.,1
Melzer J.,1
Arnaboldi A.,1
Baghdatis M.,1
Bautista R.,1
Bellucci T.,1
Berlocq C.,1
Carreno-Busta P.,1
Edmund K.,1
Fognini F.,1
Gimeno-Traver D.,1
Giraldo S.,1
Granollers M.,1
Gulbis E.,1
Isner J.,1
Janowicz J.,1
Kohlschreiber P.,1
Lajovic D.,1
Lu Y.H.,1
Klizan M.,1
