Winner,Hard
Djokovic N.,7
Murray A.,6
Wawrinka S.,5
Berdych T.,5
Kyrgios N.,4
Nadal R.,4
Nishikori K.,4
Raonic M.,4
Anderson K.,3
Ferrer D.,3
Muller G.,3
Lopez F.,3
Garcia-Lopez G.,3
Seppi A.,3
Tomic B.,3
Dimitrov G.,3
Federer R.,2
Janowicz J.,2
Baghdatis M.,2
Becker B.,2
Verdasco F.,2
Troicki V.,2
Nieminen J.,2
Pospisil V.,2
Johnson S.,2
Jaziri M.,2
Isner J.,2
Groth S.,2
Sela D.,2
Simon G.,2
Gasquet R.,2
Sousa J.,2
Soeda G.,1
Roger-Vasselin E.,1
Rosol L.,1
Stakhovsky S.,1
Mayer L.,1
Smyczek T.,1
Monfils G.,1
Melzer J.,1
Kokkinakis T.,1
Matosevic M.,1
Gonzalez A.,1
Bautista R.,1
Berankis R.,1
Bolelli S.,1
Chardy J.,1
Copil M.,1
Dodig I.,1
Duckworth J.,1
Giraldo S.,1
Goffin D.,1
Granollers M.,1
Mannarino A.,1
Haider-Maurer A.,1
Hewitt L.,1
Karlovic I.,1
Klizan M.,1
Kohlschreiber P.,1
Bachinger M.,1
Kuznetsov An.,1
Lacko L.,1
Lorenzi P.,1
Young D.,1
