Winner,Clay
Swiatek I.,18
Jabeur O.,17
Anisimova A.,13
Bencic B.,13
Begu I.,13
Pegula J.,12
Kasatkina D.,12
Trevisan M.,12
Putintseva Y.,12
Sorribes Tormo S.,11
Potapova A.,11
Alexandrova E.,11
Garcia C.,11
Pera B.,11
Martic P.,11
Teichmann J.,11
Bondar A.,11
Gauff C.,10
Paolini J.,9
Bogdan A.,9
Sabalenka A.,9
Pigossi L.,8
Sasnovich A.,8
Kalinina A.,8
Sakkari M.,8
Badosa P.,8
Kudermetova V.,8
Rybakina E.,7
Andreescu B.,7
Kerber A.,7
Zanevska M.,7
Bronzetti L.,7
Parrizas Diaz N.,7
Sherif M.,7
Tomljanovic A.,7
Azarenka V.,6
Kontaveit A.,6
Krunic A.,6
Liu C.,6
Linette M.,6
Siniakova K.,6
Pliskova Ka.,6
Fernandez L.A.,6
Kovinic D.,5
Maria T.,5
Mertens E.,5
Osorio M.,5
Stephens S.,5
Juvan K.,5
Raducanu E.,5
Halep S.,5
Kanepi K.,5
Cocciaretto E.,5
Danilovic O.,5
Rus A.,4
Zhang S.,4
Parry D.,4
Jeanjean L.,4
Rakhimova K.,4
Dodin O.,4
Gracheva V.,4
Davis L.,4
Golubic V.,4
Keys M.,4
Baindl K.,4
Cirstea S.,4
Cornet A.,4
Zheng Q.,4
Collins D.,3
Tsurenko L.,3
Muchova K.,3
Bouzkova M.,3
Burel C.,3
Yastremska D.,3
Peterson R.,3
Vandeweghe C.,3
Petkovic A.,3
Schmiedlova A.,3
Avanesyan E.,3
Samsonova L.,3
Giorgi C.,3
Grabher J.,3
Waltert S.,3
Zidansek T.,3
Niemeier J.,2
Muguruza G.,2
Bara I.,2
Rogers S.,2
Riske A.,2
Mladenovic K.,2
Brengle M.,2
Siegemund L.,2
Frech M.,2
Lys E.,2
Saville D.,2
Bjorklund M.,2
Wang Xiy.,2
Sharma A.,2
Errani S.,2
Haddad Maia B.,2
Galfi D.,2
Krejcikova B.,2
Udvardy P.,1
Vekic D.,1
Van Uytvanck A.,1
Watson H.,1
Jacquemot E.,1
Doi M.,1
Stefanini L.,1
Volynets K.,1
Zavatska K.,1
Papamichail D.,1
Kvitova P.,1
Paoletti M.,1
Podoroska N.,1
Zuger J.,1
Berberovic N.,1
Ostapenko J.,1
Eikeri U.,1
Gorgodze E.,1
Ruse E.G.,1
Baptiste H.,1
Bandecchi S.,1
Ferro F.,1
Fruhvirtova L.,1
Friedsam A.L.,1
Andreeva E.,1
Oz I.,1
Chwalinska M.,1
Bucsa C.,1
Kostyuk M.,1
Osaka N.,1
Tan H.,1
Carle M.,1
Marcinko P.,1
Korpatsch T.,1
Makarova E.,1
Lizarazo Y.,1
Kucova K.,1
Contreras Gomez F.,1
Lee G.,1
Navarro E.,1
Kalinskaya A.,1
Lamens S.,1
Cadantu A.,1
Wang Xin.,0
Vondrousova M.,0
Thandi K.,0
Yuan Y.,0
Wang Q.,0
Tauson C.,0
Snigur D.,0
Zacarias M.,0
Voegele S.,0
Zhu L.,0
Townsend T.,0
Swan K.,0
Svitolina E.,0
Zhao C.,0
Williams S.,0
Stakusic M.,0
Wickmayer Y.,0
Uchijima M.,0
Sevastova A.,0
Sun L.,0
Stosur S.,0
Tomova V.,0
Mandlik E.,0
Selekhmeteva O.,0
Dart H.,0
Hon P.,0
Hibino N.,0
Havlickova L.,0
Hartono A.,0
Harrison Ca.,0
Han N.L.,0
Gasanova A.,0
Flipkens K.,0
Dolehide C.,0
Diatchenko V.,0
Cristian J.,0
Sebov K.,0
Chirico L.,0
Buzarnescu M.,0
Burrage J.,0
Brace C.,0
Boulter K.,0
Bouchard E.,0
Bonaventure Y.,0
Blinkova A.,0
Birrell K.,0
Barty A.,0
Hontama M.,0
Inglis M.,0
Jakupovic D.,0
Jimenez V.,0
Salkova D.,0
Rodina E.,0
Raina A.,0
Pavlyuchenkova A.,0
Pattinama Kerkhove L.,0
Parks A.,0
Paquet C.,0
Noskova L.,0
Muhammad A.,0
Miyazaki Y.,0
Minnen G.,0
Mcnally C.,0
McNally C.,0
Martincova T.,0
Marino R.,0
Lisicki S.,0
Li A.,0
Kuzmova V.,0
Konjuh A.,0
Kenin S.,0
Kawa K.,0
Zvonareva V.,0
