Winner,Hard
Osaka N.,6
Swiatek I.,6
Bencic B.,4
Saville D.,4
Pegula J.,4
Sasnovich A.,3
Kalinina A.,3
Kvitova P.,3
Fruhvirtova L.,3
Collins D.,3
Bronzetti L.,3
Riske A.,3
Badosa P.,3
Kanepi K.,2
Muchova K.,2
Putintseva Y.,2
Li A.,2
Rogers S.,2
Kudermetova V.,2
Siniakova K.,2
Zvonareva V.,2
Kalinskaya A.,2
Jabeur O.,2
Gauff C.,2
Davis L.,2
Brengle M.,2
Watson H.,2
Zhang S.,2
Begu I.,2
Haddad Maia B.,2
Rybakina E.,1
Stephens S.,1
Wang Q.,1
Alexandrova E.,1
Ruse E.G.,1
Linette M.,1
Azarenka V.,1
Golubic V.,1
Galfi D.,1
Burel C.,1
Bouzkova M.,1
Bondar A.,1
Kostyuk M.,1
