Winner,Clay
Swiatek I.,7
Gauff C.,6
Kasatkina D.,5
Trevisan M.,5
Fernandez L.A.,4
Kudermetova V.,4
Stephens S.,4
Pegula J.,4
Keys M.,3
Mertens E.,3
Giorgi C.,3
Teichmann J.,3
Sasnovich A.,3
Begu I.,3
Anisimova A.,3
Zheng Q.,3
Rybakina E.,2
Saville D.,2
Kovinic D.,2
Azarenka V.,2
Kerber A.,2
Badosa P.,2
Kanepi K.,2
Muchova K.,2
Cornet A.,2
Jeanjean L.,2
Sabalenka A.,2
Bencic B.,2
Gracheva V.,2
Rogers S.,2
Parry D.,2
Zidansek T.,2
Sakkari M.,1
Siniakova K.,1
Schmiedlova A.,1
Sherif M.,1
Raducanu E.,1
Tomljanovic A.,1
Van Uytvanck A.,1
Vekic D.,1
Volynets K.,1
Riske A.,1
Alexandrova E.,1
Putintseva Y.,1
Halep S.,1
Bouzkova M.,1
Brengle M.,1
Cirstea S.,1
Collins D.,1
Contreras Gomez F.,1
Danilovic O.,1
Garcia C.,1
Haddad Maia B.,1
Jacquemot E.,1
Pliskova Ka.,1
Juvan K.,1
Kalinina A.,1
Krunic A.,1
Andreescu B.,1
Linette M.,1
Osorio M.,1
Ostapenko J.,1
Petkovic A.,1
Kvitova P.,1
