,player,passed_at_net,net_pts,passing_shot
0,Elina Svitolina,28,145,19.310344827586206
1,Jessica Pegula,17,93,18.27956989247312
2,Marie Bouzkova,22,122,18.0327868852459
3,Kiki Bertens,19,124,15.32258064516129
4,Karolina Muchova,25,184,13.586956521739129
5,Maria Sakkari,13,102,12.745098039215685
6,Camila Giorgi,12,107,11.214953271028037
7,Sara Sorribes Tormo,13,120,10.833333333333334
8,Bianca Andreescu,49,458,10.698689956331878
9,Jil Teichmann,7,93,7.526881720430108
10,Petra Kvitova,10,139,7.194244604316546
