,player,passed_at_net,net_pts,passing_shot
0,Agnieszka Radwanska,11,40,27.500000000000004
1,Francesca Schiavone,13,70,18.571428571428573
2,Kimiko Date Krumm,5,30,16.666666666666664
3,Svetlana Kuznetsova,9,55,16.363636363636363
4,Caroline Wozniacki,12,101,11.881188118811881
5,Na Li,4,39,10.256410256410255
6,Maria Jose Martinez Sanchez,2,23,8.695652173913043
7,Gisela Dulko,2,24,8.333333333333332
8,Victoria Azarenka,1,23,4.3478260869565215
9,Maria Sharapova,1,26,3.8461538461538463
10,Samantha Stosur,1,29,3.4482758620689653
