name,score
Novak Djokovic,72
Rafael Nadal,70
Roger Federer,64
David Ferrer,59
Andy Murray,58
Jo Wilfried Tsonga,57
Janko Tipsarevic,54
Tomas Berdych,53
Juan Martin Del Potro,49
Nicolas Almagro,47
Florian Mayer,45
Marin Cilic,44
Mardy Fish,43
Kevin Anderson,42
Viktor Troicki,40
