name,score
Andy Murray,80
Novak Djokovic,66
Dominic Thiem,60
Kei Nishikori,58
Milos Raonic,52
Roberto Bautista Agut,51
Marin Cilic,49
David Goffin,49
Stanislas Wawrinka,46
Gael Monfils,44
Alexander Zverev,44
Pablo Carreno Busta,41
Nick Kyrgios,40
Tomas Berdych,40
Grigor Dimitrov,40
