name,score
Alexander Zverev,60
Dominic Thiem,54
Novak Djokovic,53
Roger Federer,51
Kevin Anderson,49
Juan Martin del Potro,48
Fabio Fognini,47
Stefanos Tsitsipas,46
Rafael Nadal,45
Marin Cilic,45
Karen Khachanov,44
Kei Nishikori,43
Daniil Medvedev,42
Borna Coric,40
Kyle Edmund,38
