name,score
Rafael Nadal,82
Roger Federer,67
Novak Djokovic,64
Andy Murray,58
Nikolay Davydenko,56
Gilles Simon,52
Andy Roddick,50
James Blake,48
Fernando Verdasco,47
Juan Martin Del Potro,46
David Nalbandian,44
Robin Soderling,44
David Ferrer,44
Igor Andreev,43
Fernando Gonzalez,40
