name,score
Roger Federer,75
Andy Roddick,74
Lleyton Hewitt,68
Carlos Moya,60
Marat Safin,50
Paradorn Srichaphan,44
Tim Henman,44
Dominik Hrbaty,43
Tommy Robredo,43
Jiri Novak,42
Mikhail Youzhny,42
Fernando Gonzalez,41
Nicolas Massu,40
Vincent Spadea,40
Guillermo Canas,40
