name,score
Rafael Nadal,68
David Goffin,59
Alexander Zverev,57
Roger Federer,55
Grigor Dimitrov,49
Dominic Thiem,48
Roberto Bautista Agut,48
Marin Cilic,46
Jack Sock,39
Diego Schwartzman,39
John Isner,39
Juan Martin del Potro,38
Jo-Wilfried Tsonga,38
Damir Dzumhur,37
Pablo Carreno Busta,37
