name,score
Lleyton Hewitt,62
Roger Federer,59
Carlos Moya,58
Andy Roddick,56
Marat Safin,56
Andre Agassi,54
Jiri Novak,53
Tim Henman,50
Paradorn Srichaphan,50
Juan Carlos Ferrero,48
Juan Ignacio Chela,47
Younes El Aynaoui,45
Tommy Haas,44
Andrei Pavel,44
Guillermo Canas,43
