name,score
Roger Federer,74
Novak Djokovic,65
Andy Murray,60
Tomas Berdych,55
David Ferrer,55
Marin Cilic,54
Kei Nishikori,54
Grigor Dimitrov,51
Milos Raonic,49
Rafael Nadal,49
Roberto Bautista Agut,45
Tommy Robredo,43
Stanislas Wawrinka,42
Ernests Gulbis,41
Feliciano Lopez,41
