name,score
Novak Djokovic,83
Andy Murray,71
Roger Federer,63
Rafael Nadal,61
Tomas Berdych,57
David Ferrer,55
Kei Nishikori,55
Stanislas Wawrinka,55
Kevin Anderson,46
John Isner,45
Gilles Simon,43
Richard Gasquet,43
Roberto Bautista Agut,42
Bernard Tomic,40
David Goffin,39
