name,score
Rafael Nadal,71
Roger Federer,69
Novak Djokovic,68
David Ferrer,61
James Blake,55
Andy Roddick,54
Nikolay Davydenko,53
Mikhail Youzhny,50
Tommy Robredo,49
Richard Gasquet,49
Marcos Baghdatis,48
Paul Henri Mathieu,46
Tomas Berdych,46
Ivo Karlovic,45
Ivan Ljubicic,44
