name,score
Magnus Norman,69
Marat Safin,68
Yevgeny Kafelnikov,67
Gustavo Kuerten,64
Lleyton Hewitt,61
Tim Henman,58
Alex Corretja,55
Thomas Enqvist,51
Juan Carlos Ferrero,46
Sebastien Grosjean,44
Nicolas Lapentti,44
Mark Philippoussis,43
Dominik Hrbaty,43
Wayne Ferreira,43
Michael Chang,42
