name,score
Rafael Nadal,71
Roger Federer,66
Novak Djokovic,63
David Ferrer,60
Robin Soderling,57
Jurgen Melzer,53
Andy Roddick,48
Andy Murray,46
Gael Monfils,46
Tomas Berdych,45
Nicolas Almagro,44
Marcos Baghdatis,43
Fernando Verdasco,43
Mikhail Youzhny,43
Marin Cilic,40
