name,score
Rafael Nadal,60
Daniil Medvedev,59
Novak Djokovic,58
Stefanos Tsitsipas,55
Roger Federer,55
Dominic Thiem,50
Alexander Zverev,44
Matteo Berrettini,43
Alex De Minaur,42
Roberto Bautista Agut,42
Diego Schwartzman,40
Denis Shapovalov,39
Andrey Rublev,38
Gael Monfils,37
David Goffin,37
