name,score
Roger Federer,81
Rafael Nadal,79
Andy Roddick,59
Ivan Ljubicic,57
Gaston Gaudio,56
Nikolay Davydenko,56
Guillermo Coria,55
Fernando Gonzalez,50
Thomas Johansson,47
Juan Carlos Ferrero,46
Radek Stepanek,45
David Nalbandian,44
Mario Ancic,44
Tommy Robredo,43
David Ferrer,43
