name,score
David Ferrer,76
Novak Djokovic,75
Roger Federer,74
Juan Martin Del Potro,65
Tomas Berdych,61
Andy Murray,59
Nicolas Almagro,59
Janko Tipsarevic,57
Jo Wilfried Tsonga,57
Milos Raonic,46
John Isner,45
Gilles Simon,44
Richard Gasquet,42
Philipp Kohlschreiber,42
Rafael Nadal,42
