name,score
Lleyton Hewitt,79
Yevgeny Kafelnikov,69
Gustavo Kuerten,60
Juan Carlos Ferrero,57
Tommy Haas,55
Tim Henman,51
Sebastien Grosjean,50
Roger Federer,49
Patrick Rafter,48
Thomas Johansson,46
Andre Agassi,46
Guillermo Canas,45
Marat Safin,45
Andy Roddick,42
Greg Rusedski,39
