name,score
Rafael Nadal,76
Novak Djokovic,74
David Ferrer,63
Tomas Berdych,55
Juan Martin Del Potro,52
Stanislas Wawrinka,51
Richard Gasquet,50
Tommy Haas,47
Milos Raonic,46
Roger Federer,45
Andy Murray,43
Nicolas Almagro,42
Fabio Fognini,42
Jo Wilfried Tsonga,39
Mikhail Youzhny,39
