name,score
Roger Federer,79
Andy Roddick,72
Rainer Schuettler,70
Juan Carlos Ferrero,67
Guillermo Coria,61
Carlos Moya,57
Paradorn Srichaphan,51
Andre Agassi,47
Jiri Novak,46
Sjeng Schalken,42
David Nalbandian,42
Gustavo Kuerten,42
Jarkko Nieminen,41
Max Mirnyi,41
Younes El Aynaoui,41
