name,score
Roger Federer,92
Nikolay Davydenko,70
James Blake,60
Rafael Nadal,60
Ivan Ljubicic,60
Jarkko Nieminen,55
Mario Ancic,53
Fernando Gonzalez,50
Tommy Haas,49
Andy Roddick,49
Tommy Robredo,49
Tomas Berdych,47
Dmitry Tursunov,46
David Nalbandian,44
David Ferrer,41
