name,score
Novak Djokovic,78
Rafael Nadal,68
Andy Murray,66
Roger Federer,61
Nikolay Davydenko,57
Juan Martin Del Potro,54
Jo Wilfried Tsonga,54
Fernando Verdasco,52
Andy Roddick,49
Marin Cilic,48
Radek Stepanek,47
David Ferrer,46
Tommy Robredo,46
Robin Soderling,46
Gilles Simon,45
