Winner,Grass
Kvitova P.,7
Sharapova M.,6
Lisicki S.,5
Azarenka V.,5
Pironkova T.,4
Cibulkova D.,4
Bartoli M.,4
Paszek T.,4
Cetkovska P.,3
Peng S.,3
Pervak K.,3
Petrova N.,3
Wozniacki C.,3
Wickmayer Y.,3
Williams S.,3
Williams V.,3
Schiavone F.,2
Kirilenko M.,2
Petkovic A.,2
Vinci R.,2
Pennetta F.,2
Zakopalova K.,2
Kuznetsova S.,2
Martinez-Sanchez M.J.,2
Zvonareva V.,2
Bondarenko K.,2
Gajdosova J.,2
Goerges J.,2
Hantuchova D.,2
Czink M.,2
Doi M.,2
Ivanovic A.,2
Yakimova A.,1
Zahlavova Strycova B.,1
Daniilidou E.,1
Date Krumm K.,1
Robson L.,1
Benesova I.,1
Vesnina E.,1
Tatishvili A.,1
Zheng J.,1
Tanasugarn T.,1
Dominguez Lino L.,1
Dubois S.,1
Safarova L.,1
Rodina E.,1
Keothavong A.,1
Razzano V.,1
Mchale C.,1
Hlavackova A.,1
Li N.,1
Hercog P.,1
Marino R.,1
Martic P.,1
Baltacha E.,1
Niculescu M.,1
Johansson M.,1
Parmentier P.,1
Pavlyuchenkova A.,1
Halep S.,1
Errani S.,1
Erakovic M.,1
Dulgheru A.,1
Radwanska A.,1
