,player,pts_won,net_pts,net_efficiency
0,Venus Williams,98,136,72.05882352941177
1,Daria Kasatkina,52,73,71.23287671232876
2,Bianca Andreescu,28,40,70.0
3,Garbine Muguruza,32,47,68.08510638297872
4,Caroline Wozniacki,58,86,67.44186046511628
5,Serena Williams,44,66,66.66666666666666
6,Petra Martic,33,50,66.0
7,Kiki Bertens,39,60,65.0
8,Tatjana Maria,25,40,62.5
9,Johanna Konta,23,40,57.49999999999999
