Winner,Hard
Osaka N.,7
Kvitova P.,6
Collins D.,5
Pliskova Ka.,5
Williams S.,4
Barty A.,4
Svitolina E.,4
Pavlyuchenkova A.,4
Halep S.,3
Keys M.,3
Stephens S.,3
Muguruza G.,3
Anisimova A.,3
Sharapova M.,3
Sevastova A.,3
Kerber A.,3
Mertens E.,2
Martic P.,2
Sasnovich A.,2
Sabalenka A.,2
Sakkari M.,2
Hsieh S.W.,2
Wozniacki C.,2
Zhang S.,2
Bacsinszky T.,2
Yastremska D.,2
Giorgi C.,2
Bencic B.,2
Garcia C.,2
Wang Q.,2
Williams V.,2
Birrell K.,2
Sharma A.,1
Siegemund L.,1
Wang Yaf.,1
Vickery S.,1
Vondrousova M.,1
Suarez Navarro C.,1
Swiatek I.,1
Tsurenko L.,1
Vikhlyantseva N.,1
Vekic D.,1
Andreescu B.,1
Putintseva Y.,1
Haddad Maia B.,1
Babos T.,1
Begu I.,1
Bertens K.,1
Bouchard E.,1
Boulter K.,1
Brengle M.,1
Cornet A.,1
Gasparyan M.,1
Hives Z.,1
Potapova A.,1
Kenin S.,1
Konta J.,1
Kontaveit A.,1
Krunic A.,1
Kuzmova V.,1
Larsson J.,1
Peterson R.,1
Pliskova Kr.,1
Zidansek T.,1
