,player,passed_at_net,net_pts,passing_shot
0,Shuai Zhang,4,22,18.181818181818183
1,Bianca Andreescu,7,59,11.864406779661017
2,Victoria Azarenka,3,29,10.344827586206897
3,Serena Williams,8,79,10.126582278481013
4,Coco Gauff,3,32,9.375
5,Danielle Collins,2,22,9.090909090909092
6,Ons Jabeur,3,33,9.090909090909092
7,Caroline Garcia,5,56,8.928571428571429
8,Moyuka Uchijima,5,63,7.936507936507936
9,Iga Swiatek,4,70,5.714285714285714
10,Garbine Muguruza,2,37,5.405405405405405
11,Petra Kvitova,1,22,4.545454545454546
