Winner,Hard
Isner J.,6
Zverev A.,5
Carreno Busta P.,4
Del Potro J.M.,4
Tiafoe F.,3
Anderson K.,3
Raonic M.,3
Sousa J.,3
Coric B.,3
Shapovalov D.,3
Chardy J.,3
Chung H.,3
Cilic M.,2
Pospisil V.,2
Kyrgios N.,2
Mmoh M.,2
Krajinovic F.,2
Kokkinakis T.,2
Youzhny M.,2
Johnson S.,2
Paire B.,2
Donaldson J.,2
Verdasco F.,2
Querrey S.,1
Ymer M.,1
Nishioka Y.,1
Nishikori K.,1
Vesely J.,1
Schwartzman D.,1
Mayer L.,1
Sock J.,1
Millman J.,1
Medvedev D.,1
Albot R.,1
Marterer M.,1
Ebden M.,1
Basilashvili N.,1
Berdych T.,1
Bhambri Y.,1
Broady L.,1
Copil M.,1
Dimitrov G.,1
Donskoy E.,1
Ferrer D.,1
Lajovic D.,1
Fognini F.,1
Garcia-Lopez G.,1
Haase R.,1
Herbert P.H.,1
Istomin D.,1
Jarry N.,1
Kuhn N.,1
Khachanov K.,1
