,player,pts_won,net_pts,net_efficiency
0,Samantha Stosur,26,29,89.65517241379311
1,Victoria Azarenka,18,23,78.26086956521739
2,Caroline Wozniacki,74,101,73.26732673267327
3,Maria Jose Martinez Sanchez,16,23,69.56521739130434
4,Maria Sharapova,18,26,69.23076923076923
5,Francesca Schiavone,44,70,62.857142857142854
6,Svetlana Kuznetsova,34,55,61.81818181818181
7,Na Li,24,39,61.53846153846154
8,Gisela Dulko,14,24,58.333333333333336
9,Kimiko Date Krumm,17,30,56.666666666666664
10,Agnieszka Radwanska,21,40,52.5
