Winner,Grass
Williams S.,7
Zvonareva V.,6
Pironkova T.,5
Kvitova P.,5
Kanepi K.,4
Li N.,4
Williams V.,4
Clijsters K.,4
Jankovic J.,3
Henin J.,3
Groth J.,3
Radwanska A.,3
Sharapova M.,3
Wozniacki C.,3
Bartoli M.,3
Zakopalova K.,3
Kleybanova A.,2
Rodionova An.,2
Petrova N.,2
Pennetta F.,2
Pavlyuchenkova A.,2
Wickmayer Y.,2
Azarenka V.,2
Zahlavova Strycova B.,2
Kulikova R.,2
Arn G.,2
Kirilenko M.,2
Errani S.,2
Kerber A.,2
Bondarenko A.,2
Dulgheru A.,2
Cibulkova D.,2
Vinci R.,1
Dushevina V.,1
Rezai A.,1
Shvedova Y.,1
Sprem K.,1
Kudryavtseva A.,1
Flipkens K.,1
Chan Y.J.,1
Chakvetadze A.,1
Brianti A.,1
Wozniak A.,1
Barrois K.,1
Zheng J.,1
Chang K.C.,1
Perry S.,1
Gallovits E.,1
Morita A.,1
Kuznetsova S.,1
Lepchenko V.,1
Jovanovski B.,1
Hlavackova A.,1
Martic P.,1
Molik A.,1
Nara K.,1
Peer S.,1
Niculescu M.,1
Olaru I.,1
Oprandi R.,1
Oudin M.,1
Parra Santonja A.,1
Hantuchova D.,1
Makarova E.,1
