Winner,Hard
Muchova K.,6
Gauff C.,6
Zhang S.,4
Starodubtseva Y.,4
Zheng Q.,4
Badosa P.,4
Andreeva M.,3
Sabalenka A.,3
Bucsa C.,3
Osaka N.,3
Podoroska N.,2
Pegula J.,2
Sramkova R.,2
Anisimova A.,2
Minnen G.,2
Stearns P.,2
Linette M.,2
Krueger A.,2
Keys M.,2
Kalinskaya A.,2
Volynets K.,2
Frech M.,2
Cristian J.,2
Avanesyan E.,2
Tomova V.,1
Townsend T.,1
Tauson C.,1
Uchijima M.,1
Vekic D.,1
Wang Xin.,1
Sorribes Tormo S.,1
Shnaider D.,1
Wei S.,1
Sawangkaew M.,1
Begu I.,1
Rakhimova K.,1
Parry D.,1
Parks A.,1
Boulter K.,1
Osorio M.,1
Mertens E.,1
Kudermetova V.,1
Kenin S.,1
Kasatkina D.,1
Haddad Maia B.,1
Golubic V.,1
Baptiste H.,1
Fett J.,1
Cocciaretto E.,1
Burel C.,1
Paolini J.,1
