Winner,Clay
Swiatek I.,6
Sabalenka A.,5
Collins D.,4
Gauff C.,4
Zheng Q.,3
Ostapenko J.,3
Osaka N.,3
Azarenka V.,3
Keys M.,3
Kerber A.,3
Sramkova R.,3
Badosa P.,3
Begu I.,3
Sasnovich A.,2
Svitolina E.,2
Putintseva Y.,2
Sorribes Tormo S.,2
Sakkari M.,2
Kenin S.,2
Cirstea S.,2
Shnaider D.,2
Sherif M.,2
Tauson C.,1
Yastremska D.,1
Wang Xin.,1
Vondrousova M.,1
Tsurenko L.,1
Siegemund L.,1
Siniakova K.,1
Stefanini L.,1
Volynets K.,1
Rogers S.,1
Avanesyan E.,1
Potapova A.,1
Pera B.,1
Blinkova A.,1
Bogdan A.,1
Cocciaretto E.,1
Cristian J.,1
Errani S.,1
Frech M.,1
Fruhvirtova B.,1
Garcia C.,1
Gracheva V.,1
Haddad Maia B.,1
Kalinina A.,1
Kalinskaya A.,1
Kasatkina D.,1
Linette M.,1
Maria T.,1
Mertens E.,1
Osorio M.,1
Noskova L.,1
