Winner,Hard
Collins D.,7
Rybakina E.,5
Alexandrova E.,4
Azarenka V.,4
Putintseva Y.,4
Sakkari M.,3
Garcia C.,3
Pegula J.,3
Navarro E.,2
Kalinskaya A.,2
Boulter K.,2
Swiatek I.,2
Townsend T.,2
Osaka N.,2
Wang Xin.,2
Keys M.,2
Avanesyan E.,2
Kalinina A.,2
Cirstea S.,2
Gauff C.,2
Timofeeva M.,1
Siegemund L.,1
Siniakova K.,1
Stearns P.,1
Stephens S.,1
Zheng Q.,1
Tauson C.,1
Tomova V.,1
Wang Xiy.,1
Tsurenko L.,1
Yuan Y.,1
Vekic D.,1
Shnaider D.,1
Volynets K.,1
Yastremska D.,1
Wozniacki C.,1
Dodin O.,1
Rus A.,1
Saville D.,1
Sabalenka A.,1
Fruhvirtova B.,1
Giorgi C.,1
Haddad Maia B.,1
Hunter S.,1
Kasatkina D.,1
Liu C.,1
Minnen G.,1
Noskova L.,1
Ostapenko J.,1
Paolini J.,1
Parry D.,1
Pavlyuchenkova A.,1
Arango E.,1
Podoroska N.,1
Rogers S.,1
Fernandez L.A.,1
Badosa P.,1
Zhu L.,1
