Winner,Hard
Swiatek I.,6
Sakkari M.,5
Yuan Y.,4
Gauff C.,4
Wozniacki C.,4
Kostyuk M.,4
Kerber A.,3
Parry D.,3
Potapova A.,3
Putintseva Y.,3
Navarro E.,3
Mertens E.,2
Raducanu E.,2
Podoroska N.,2
Pavlyuchenkova A.,2
Sabalenka A.,2
Blinkova A.,2
Stephens S.,2
Osaka N.,2
Volynets K.,2
Paolini J.,2
Kasatkina D.,2
Bronzetti L.,2
Dolehide C.,2
Maria T.,1
Siniakova K.,1
Bouzkova M.,1
Wang Xin.,1
Vondrousova M.,1
Tsurenko L.,1
Townsend T.,1
Tomova V.,1
Burel C.,1
Svitolina E.,1
Collins D.,1
Stearns P.,1
Sramkova R.,1
Shnaider D.,1
Kudermetova V.,1
Dodin O.,1
Garcia C.,1
Giorgi C.,1
Haddad Maia B.,1
Hibino N.,1
Pera B.,1
Hontama M.,1
Kalinskaya A.,1
Parrizas Diaz N.,1
Keys M.,1
Noskova L.,1
Baptiste H.,1
