Winner,Clay
Auger-Aliassime F.,6
Rublev A.,6
Lehecka J.,4
Fritz T.,4
Cerundolo F.,3
Sinner J.,3
Nadal R.,3
Medvedev D.,3
Alcaraz C.,3
Zverev A.,2
Hurkacz H.,2
Monteiro T.,2
Mensik J.,2
Cachin P.,2
Ruud C.,2
Altmaier D.,2
Kotov P.,2
Seyboth Wild T.,2
Khachanov K.,2
Shapovalov D.,2
Griekspoor T.,2
Bublik A.,2
Struff J.L.,2
Cobolli F.,2
Shelton B.,1
Norrie C.,1
Shang J.,1
Shevchenko A.,1
Arnaldi M.,1
Sonego L.,1
Rune H.,1
Baez S.,1
Van Assche L.,1
Van De Zandschulp B.,1
Purcell M.,1
Paul T.,1
Carballes Baena R.,1
Navone M.,1
Humbert U.,1
Coric B.,1
Daniel T.,1
Darderi L.,1
Davidovich Fokina A.,1
Draper J.,1
Fonseca J.,1
Kecmanovic M.,1
Bagnis F.,1
Klein L.,1
Korda S.,1
Machac T.,1
Marozsan F.,1
Medjedovic H.,1
Munar J.,1
Bautista Agut R.,1
